"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSMUSG00000020608.8" -2.47486547274513 7.86678611102739 -44.3483631517349 5.5185110961375e-19 6.47321351576928e-15 33.7649387337607
"ENSMUSG00000052212.7" 4.55864210918439 6.22168083297756 40.7275910509681 2.31085756172369e-18 1.35531795995094e-14 31.8359284715923
"ENSMUSG00000049103.15" 2.17107162934587 9.90992583269642 39.0870950938292 4.60945084432058e-18 1.80229528012935e-14 31.7405566440518
"ENSMUSG00000030203.18" -4.10992284511357 7.02367154500035 -33.692455824444 5.55426612870158e-17 1.62878854224174e-13 29.1833701851386
"ENSMUSG00000021990.17" -2.66872514954311 8.37740857459814 -32.9313273074925 8.13895282639407e-17 1.66270244221299e-13 28.8780959903689
"ENSMUSG00000027508.16" -1.8885808470219 8.1414047674973 -32.8448036016499 8.50487182717643e-17 1.66270244221299e-13 28.8350826442694
"ENSMUSG00000024164.16" 1.8076220927733 9.89506823903326 32.1437188989266 1.21969281354566e-16 2.04385667184152e-13 28.4180831063404
"ENSMUSG00000037820.16" -4.16012031186911 7.13967319396212 -31.6489372794245 1.58038385404642e-16 2.25356616128114e-13 28.1418825818488
"ENSMUSG00000026193.16" 4.8133753677556 10.169378774495 31.4789328242923 1.72907889612364e-16 2.25356616128114e-13 28.0380891688267
"ENSMUSG00000030342.9" -3.66941085603307 6.0665583429385 -30.2331320017723 3.39138887989004e-16 3.97809915611102e-13 27.2721632326272
"ENSMUSG00000048498.9" -5.78407421722634 6.5305441613911 -30.0262859338397 3.80257616331635e-16 4.0549289450637e-13 26.9581505261275
"ENSMUSG00000038807.20" -1.5534478774468 9.03489270214485 -29.6168145553359 4.78020285448247e-16 4.50477315083792e-13 27.0604739803733
"ENSMUSG00000021614.17" 5.99691153364983 5.4539759957643 29.4061015076633 5.38391891630153e-16 4.50477315083792e-13 25.7222843254322
"ENSMUSG00000051177.17" 3.19935598006939 5.01516857693852 29.3884929534999 5.43789777572602e-16 4.50477315083792e-13 26.5190644078869
"ENSMUSG00000030413.8" -2.59883407824107 6.65718586654115 -29.2869422626216 5.76057947677484e-16 4.50477315083792e-13 26.9215430242683
"ENSMUSG00000037185.10" -1.52710686346617 9.50339208297793 -28.9368868761652 7.03736780645556e-16 4.67318378630572e-13 26.6391950088193
"ENSMUSG00000029254.17" -2.38555910496667 6.43208307807003 -28.8956157200454 7.20655178280077e-16 4.67318378630572e-13 26.6858794844326
"ENSMUSG00000028885.9" -2.34459665432405 7.07560689688391 -28.8832838570901 7.25793495129228e-16 4.67318378630572e-13 26.6959405357726
"ENSMUSG00000027215.14" -2.56535928397256 6.92259212061401 -28.8104272823886 7.56952190450202e-16 4.67318378630572e-13 26.6497204604024
"ENSMUSG00000020437.13" -1.19153125888272 10.2434180734709 -28.6226187934048 8.43980562862046e-16 4.9499460011859e-13 26.3993905422241
"ENSMUSG00000018168.9" -3.89108971615788 5.41137381709143 -28.4907693526657 9.11364834473043e-16 5.09062357541371e-13 26.2454358499936
"ENSMUSG00000039959.14" -1.47267912765619 8.95478573237027 -28.1019465636707 1.14535747112027e-15 5.61886109127598e-13 26.1637186957682
"ENSMUSG00000038147.15" 1.69758881825557 7.1703100402958 28.1009790260721 1.14601331301512e-15 5.61886109127598e-13 26.236391418254
"ENSMUSG00000020108.5" -2.03844640258333 6.97510179257538 -28.0325271229086 1.19343655880402e-15 5.61886109127598e-13 26.1859797802462
"ENSMUSG00000023827.9" -2.13670300674233 6.43383916797339 -28.0267388763148 1.19754072704092e-15 5.61886109127598e-13 26.1862238223047
"ENSMUSG00000022584.15" 4.73355761298862 6.7627787156131 27.6541191351043 1.495884560966e-15 6.74874073081967e-13 25.9494059223175
"ENSMUSG00000020212.15" -2.15596913176915 6.80393091339915 -27.4639388253463 1.67759726740746e-15 6.99094225222338e-13 25.861205193824
"ENSMUSG00000023809.12" -3.18595284545105 4.81626441242635 -27.4248796246743 1.71772798642051e-15 6.99094225222338e-13 25.4096832140415
"ENSMUSG00000021728.9" 1.67760657921155 8.38670223107052 27.4146874563805 1.72836594470996e-15 6.99094225222338e-13 25.7794479613047
"ENSMUSG00000020387.16" -4.92222131687751 4.3580452140625 -27.0925189144211 2.10322741644779e-15 8.22361919831086e-13 24.1340002982901
"ENSMUSG00000035493.11" 1.92985234501857 9.77855945095793 26.6331006481103 2.79350002797277e-15 1.05702436542325e-12 25.2082429148775
"ENSMUSG00000018001.19" -2.6034551854629 7.20009805810973 -26.5445081832348 2.95224080974424e-15 1.0596855808077e-12 25.2857360157082
"ENSMUSG00000020272.9" -1.28955176533128 10.4754472509905 -26.5288838414382 2.9812126314283e-15 1.0596855808077e-12 25.0773425080178
"ENSMUSG00000044783.17" -1.72144181112429 7.01594906888046 -26.215762914933 3.62990610484684e-15 1.23439868867425e-12 25.0833464424995
"ENSMUSG00000026923.16" 2.01350711336177 6.64457940042602 26.1927221280189 3.68320154335882e-15 1.23439868867425e-12 25.0711813238848
"ENSMUSG00000008496.20" -1.4740040175674 9.43480705551302 -25.7630375116349 4.84460152011894e-15 1.56900256431726e-12 24.6523867789537
"ENSMUSG00000042700.17" -1.81253113043946 6.10410296774953 -25.7235974721112 4.96910889014755e-15 1.56900256431726e-12 24.7716607270376
"ENSMUSG00000039109.18" 4.75147063928175 8.31354037673138 25.6810989551395 5.10706761892545e-15 1.56900256431726e-12 24.6917029841252
"ENSMUSG00000043263.14" 1.79608464369116 7.86023456099262 25.648203293939 5.21663256678372e-15 1.56900256431726e-12 24.6685837743858
"ENSMUSG00000033705.18" 1.70174483134256 7.14538242858378 25.4108280289098 6.0848192406597e-15 1.78437324232346e-12 24.5479477525682
"ENSMUSG00000029287.15" -3.77022634776627 5.4310131342739 -25.1577087138317 7.18120590883676e-15 2.05452549538183e-12 24.3177158363938
"ENSMUSG00000051457.8" -2.25271867379127 9.82306916038467 -25.030705343353 7.80832819201127e-15 2.18075451648315e-12 24.1318796354077
"ENSMUSG00000050335.18" 1.11994311302593 8.99038071745396 24.8872387355672 8.58704130377697e-15 2.34246498821637e-12 24.0959638230054
"ENSMUSG00000027435.9" 3.0439099000062 6.74718423285567 24.7618651798151 9.33486101221013e-15 2.48858908348238e-12 24.1495358777175
"ENSMUSG00000022818.14" -1.73895029895939 6.80934533045466 -24.4171392210393 1.1768612198011e-14 3.06768491294819e-12 23.9005556052971
