"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04514","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)",74,0.617762921993132,2.18217617596482,7.4385798093016e-08,9.26750142648589e-06,5.34288341348822e-06,1260,"tags=34%, list=12%, signal=30%","Vcan/Spn/Cd274/Sell/Itgal/L1cam/Itgb1/Itgb2/Vsir/H2-Q6/Pecam1/Jaml/Pdcd1lg2/H2-K1/H2-Q7/H2-Q4/H2-D1/Siglec1/Itgav/H2-T24/Cd22/H2-Ob/Cadm3/Cdh1/Itgb7"
"mmu04380","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)",113,0.544958575765373,2.08561966930539,8.55461670137159e-08,9.26750142648589e-06,5.34288341348822e-06,2221,"tags=42%, list=20%, signal=34%","Pparg/Lilra6/Lilra5/Fyn/Fcgr4/Stat2/Itpr1/Pira11/Tgfbr1/Acp5/Sirpd/Tyk2/Pirb/Ncf1/Map3k14/Mitf/Tgfbr2/Pira2/Nfkb1/Itpr3/Fcgr1/Map2k1/Pik3cd/Spi1/Socs3/Pira1/Trem2/Sqstm1/Csf1r/Pira6/Rac1/Fos/Ppp3r1/Nfatc1/Lilrb4b/Akt1/Nfkbia/Lcp2/Itgb3/Mapk3/Gab2/Sirpb1a/Chuk/Akt3/Tab2/Pik3r2/Fcgr2b/Ifngr1"
"mmu04015","mmu04015","Rap1 signaling pathway - Mus musculus (house mouse)",125,0.53410936457593,2.06911634065214,7.09459924008534e-08,9.26750142648589e-06,5.34288341348822e-06,1680,"tags=42%, list=15%, signal=36%","Plcb1/Sipa1l1/Tiam1/Met/Adcy7/Thbs1/Itgal/Itgb1/Itgb2/Calm1/Afdn/Rassf5/Raf1/Rap1b/Pdgfb/Gnaq/Vasp/Evl/Rasgrp2/Vegfc/Rras/Sipa1l3/Insr/P2ry1/Prkd2/Prkcb/Actg1/Fpr1/Rapgef5/Map2k1/Pik3cd/Pfn1/Hgf/Rap1a/Rapgef1/Apbb1ip/Csf1r/Rhoa/Cdh1/Rac1/Tln1/Adora2a/Fgfr1/Kras/Adcy4/Akt1/Lcp2/Crk/Itgb3/Mapk3/Pdgfrb/Ralb"
"mmu04662","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)",75,0.593481225900316,2.11235138751614,3.96118802162541e-07,3.21846526757065e-05,1.85550386276138e-05,2198,"tags=49%, list=20%, signal=40%","Lilra6/Lilra5/Pik3ap1/Nfatc3/Raf1/Cd81/Pira11/Pirb/Ptpn6/Cd79a/Pira2/Prkcb/Nfkb1/Cd22/Map2k1/Ifitm1/Pik3cd/Pira1/Cd19/Pira6/Rac1/Fos/Ppp3r1/Nfatc1/Kras/Lilrb4b/Akt1/Nfkbia/Blk/Mapk3/Nfkbie/Chuk/Akt3/Pik3r2/Inppl1/Vav3/Fcgr2b"
"mmu05167","mmu05167","Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse)",151,0.486123637425815,1.95150754277026,7.40707964170155e-07,4.814601767106e-05,2.77570563415342e-05,1525,"tags=31%, list=14%, signal=27%","C3/Pik3r6/Rcan1/Tcf7l2/Nfatc3/H2-Q6/Calm1/Gng2/Stat2/Raf1/Itpr1/Pdgfb/Tyk2/E2f2/H2-K1/H2-Q7/Rb1/Ccr1/Il6st/H2-Q4/H2-D1/Gngt2/Traf3/Hck/H2-T24/Nfkb1/Ikbke/Eif2ak2/Itpr3/Stat3/Map2k1/Pik3cd/Irf7/Casp8/Gnb1/Rac1/Fos/Ppp3r1/Jak2/Irf3/Nfatc1/Hif1a/Kras/Cdk6/Akt1/Nfkbia/Cd200r1"
"mmu04062","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)",122,0.509994896245771,1.9709204987791,1.04510058285923e-06,4.85225270613214e-05,2.79741208645027e-05,2192,"tags=43%, list=20%, signal=35%","Ccr2/Plcb1/Tiam1/Pik3r6/Adcy7/Grk3/Ccl9/Ptk2b/Gng2/Stat2/Ccl6/Raf1/Rap1b/Gnaq/Cxcr4/Rasgrp2/Ccr1/Ncf1/Gngt2/Cxcl10/Prkcb/Hck/Nfkb1/Stat5b/Stat3/Map2k1/Pik3cd/Ccl2/Rap1a/Gnb1/Rhoa/Gsk3a/Rac1/Jak2/Bad/Kras/Adcy4/Akt1/Fgr/Nfkbia/Crk/Mapk3/Elmo1/Prkacb/Plcb3/Gng10/Chuk/Akt3/Grk2/Cx3cr1/Pik3r2/Adcy9/Vav3"
"mmu05168","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)",155,0.479192331325382,1.93064208981752,9.04177719404092e-07,4.85225270613214e-05,2.79741208645027e-05,2427,"tags=46%, list=22%, signal=36%","C3/Pou2f2/Bcl2/Pilrb2/Ppp1cb/Pilrb1/H2-Q6/Stat2/Pilra/Tyk2/Sp100/Daxx/H2-K1/H2-Q7/Ptpn11/Rnasel/H2-Q4/H2-D1/Bst2/Sting1/Ifih1/B2m/Nxf1/Rigi/Apaf1/Traf3/Itga5/Tlr9/H2-T24/Nfkb1/Ikbke/Tnfsf14/Oas2/Eif2ak2/Pik3cd/H2-Ob/Irf7/Socs3/Casp8/Oas1a/Oas3/Ccl2/Jak2/Irf3/Bad/Tnfrsf14/Tap2/Akt1/Nfkbia/Itgb3/H2-DMa/Hcfc1/Traf5/H2-T10/Ppp1ca/H2-Eb1/Calr/Chuk/Akt3/Fas/Tab2/Hcfc2/Pik3r2/Eif2b2/Ifngr1/Cfp/Eif2ak4/Mavs/Tlr2/Tapbp/Srpk1"
"mmu05163","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)",168,0.468023174961658,1.88426996628474,2.29626826156158e-06,9.3285898125939e-05,5.3781019810258e-05,2169,"tags=38%, list=20%, signal=30%","Plcb1/Adcy7/Ptk2b/Nfatc3/H2-Q6/Arhgef1/Calm1/Gng2/Raf1/Itpr1/Gnaq/Cxcr4/E2f2/H2-K1/H2-Q7/Rb1/Ccr1/H2-Q4/H2-D1/Sting1/Gngt2/B2m/Prkcb/Itgav/H2-T24/Nfkb1/Itpr3/Stat3/Map2k1/Pik3cd/Casp8/Ccl2/Gnb1/Rhoa/Rac1/Ppp3r1/Irf3/Nfatc1/Kras/Cdk6/Adcy4/Tap2/Akt1/Creb3l2/Nfkbia/Crk/Itgb3/Mapk3/Prkacb/Traf5/Ccnd1/H2-T10/Plcb3/Gng10/Calr/Chuk/Akt3/Il10ra/Fas/Calml4/Sp1/Pik3r2/Adcy9"
"mmu04820","mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)",101,0.518771625323729,1.95839684717947,5.22344619563744e-06,0.000130586154890936,7.52852973946125e-05,2332,"tags=45%, list=21%, signal=35%","Fn1/Vcan/Jup/Vim/Atp1a1/Thbs1/Itga1/Itgb1/Eno3/Fmnl3/Inf2/Agrn/Col4a2/Sntb1/Fmnl1/Pdlim7/Xirp1/Lbr/Tpm4/Tmem43/Itga5/Actg1/Myh9/Itgav/Sptan1/Pdlim1/Sun2/Plec/Nid2/Itgb7/Itgb5/Tln1/Itgb3/Capza2/Lmnb1/Col4a1/Emd/Fmnl2/Sgcb/Itga3/Ampd2/Itga4/Nid1/Daam1/Ampd3"
"mmu04020","mmu04020","Calcium signaling pathway - Mus musculus (house mouse)",107,0.514282182229695,1.95825179212212,4.32035432438334e-06,0.000130586154890936,7.52852973946125e-05,1879,"tags=41%, list=17%, signal=34%","Plcb1/Met/Adcy7/Ptafr/Atp2b1/Ptk2b/Nfatc3/Adrb1/Calm1/Itpr1/Pdgfb/Gnaq/Ryr1/Cxcr4/Vegfc/Slc25a4/Adrb2/Slc25a5/Cysltr1/Camk1/P2rx4/Prkcb/Tpcn2/Itpr3/Hgf/Tfeb/Camk2g/Ppp3r1/Nfatc1/Adora2a/Fgfr1/Gdnf/Adcy4/Itpkb/Tpcn1/P2rx7/Cacna1d/Sphk2/Pdgfrb/Prkacb/Pde1b/Cacna1e/Plcb3/Vdac2"
